"filename", "language", "CSV", "MATLAB", "comment", "blank", "total"
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/awgnwraper.m", "MATLAB", 0, 3, 0, 2, 5
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/calculateTheoreticalBER.m", "MATLAB", 0, 4, 0, 1, 5
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/chunkAndEncodeImage.m", "MATLAB", 0, 24, 12, 8, 44
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/convertSNRtoEbNo.m", "MATLAB", 0, 7, 2, 1, 10
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/decodeAndRebuildImage.m", "MATLAB", 0, 17, 10, 6, 33
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/generateRandomData.m", "MATLAB", 0, 3, 0, 1, 4
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/ofdmDemodulate.m", "MATLAB", 0, 3, 0, 1, 4
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/ofdmModulate.m", "MATLAB", 0, 3, 0, 1, 4
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/plotBER.m", "MATLAB", 0, 16, 4, 4, 24
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/processAndRebuildPicture.m", "MATLAB", 0, 12, 4, 6, 22
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/processChannel.m", "MATLAB", 0, 11, 3, 4, 18
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/processChannelAndTransmit.m", "MATLAB", 0, 13, 7, 8, 28
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Libraries/saveBERToCSV.m", "MATLAB", 0, 8, 4, 4, 16
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/MimoDPSKStackTest.m", "MATLAB", 0, 63, 42, 17, 122
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/OFDMspreading_noLinear_Detection.m", "MATLAB", 0, 68, 14, 24, 106
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Results/BER_Plot_LMMSE_2024-09-26_15-48-48.csv", "CSV", 1, 0, 0, 1, 2
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Results/BER_Plot_NearML_2024-09-26_15-54-55.csv", "CSV", 1, 0, 0, 1, 2
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/Results/BER_Plot_OSIC_2024-09-26_15-49-33.csv", "CSV", 1, 0, 0, 1, 2
"/home/tonix/Documents/PhdDegreeCode/MatlabCode/PuertoSourceCode/TheoricalBER.m", "MATLAB", 0, 10, 1, 1, 12
"/home/tonix/Documents/PhdDegreeCode/PythonCode/App/DPSK_Stack_SNR.csv", "CSV", 6, 0, 0, 1, 7
"/home/tonix/Documents/PhdDegreeCode/PythonCode/App/Theorical.csv", "CSV", 7, 0, 0, 1, 8
"/home/tonix/Documents/PhdDegreeCode/PythonCode/App/ber_snr_DPSK_AWGN_V2V.csv", "CSV", 6, 0, 0, 1, 7
"/home/tonix/Documents/PhdDegreeCode/PythonCode/App/ber_snr_DPSK_NN.csv", "CSV", 6, 0, 0, 1, 7
"/home/tonix/Documents/PhdDegreeCode/PythonCode/App/ber_snr_DPSK_NN_V2V.csv", "CSV", 7, 0, 0, 1, 8
"/home/tonix/Documents/PhdDegreeCode/PythonCode/DeepLearning/Qlearning/ber_snr_DPSK_NN.csv", "CSV", 6, 0, 0, 1, 7
"/home/tonix/Documents/PhdDegreeCode/PythonCode/UnitTests/ber_snr_data.csv", "CSV", 6, 0, 0, 1, 7
"/home/tonix/Documents/PhdDegreeCode/ber_snr_DPSK_NN.csv", "CSV", 6, 0, 0, 1, 7
"Total", "-", 83, 1257, 435, 385, 2160
